"erklaerung";"anmerkung";"hilfe";"lfd_nr";"thema_id";"zeile";"kapitel";"schwierigkeit";"typ";"frage";"loesung";2;3;4;5;6;7;8;9
0;0;0;"W044_Do";1;1;"Temperatur und Thermometer";1;1;"Für was steht ""°C""?";"Grad Celsius";0;0;0;0;0;0;0;0
0;0;0;"W045_Do";1;1;"Temperatur und Thermometer";1;1;"Für was steht ""K""?";"Kelvin";0;0;0;0;0;0;0;0
0;"Bei normalem Luftdruck (1020hPa)";0;"W052_Do";1;1;"Temperatur und Thermometer";1;"1o3";"Bei wieviel °Celsius liegt die Siedetemperatur von Wasser?";"100°Celsius";"100 Grad Celsius";"100°C";0;0;0;0;0;0
0;0;0;"W015_Do";1;2;"Ausdehnung";1;"1o(2u(3o5))Y";"Warum soll man nach dem Tanken das Auto nicht auf dem Parklatz in die Sonne stellen ?";"Weil sich das Benzin beim Erwärmen ausdehnt ";"dehnt";"Wärme";"warm";"Erwärmung";0;0;0;0
0;0;0;"W024_Do";1;2;"Ausdehnung";1;"1o4f4o5Y";"Wie verändert sich das Volumen eines Körpers, wenn sich der Körper erwärmt?";"Das Volumen wird größer";"größer";"mehr";"dehnt";"weniger";"kleiner";0;0;0
0;0;0;"W028_Do";1;2;"Ausdehnung";1;"a";"Wo dehnt sich das Volumen bei einer Temperaturerhöhung am meisten aus?";"Gase";"Flüssigkeiten";"feste Körper";0;0;0;0;0;0
0;0;0;"W030_Do";1;2;"Ausdehnung";1;"1o3f4o6Y";"(Fast alle) feste körper dehnen sich aus, wenn sie .... werden";"erwärmt";"warm";"wärmer";"abkühlt";"kalt";"kälter";0;0;0
0;0;0;"W031_Do";1;2;"Ausdehnung";1;"1o3";"(Fast alle) feste Körper ziehen sich zusammen, wenn sie ... werden.";"abgekühlt";"kalt";"kälter";0;0;0;0;0;0
0;0;0;"W013_Do";1;3;"Anomalie des Wassers";1;"a";"Warum platzen Wasserflaschen und Wasserleitungen, die im Winter für einige Zeit Frost ausgesetzt sind?";"Wasser dehnt sich beim Gefrieren aus";"Wasser zieht sich beim Gefrieren zusammen";"Das Glas und die Röhern gehen bei Kälte kaputt";0;0;0;0;0;0
0;0;0;"W027_Do";1;3;"Anomalie des Wassers";1;"1o2";"Bei wie viel Grad Celsius, hat Wasser das geringste Volumen?";"4°C";"4°Celsius";0;0;0;0;0;0;0
0;0;0;"W029_Do";1;3;"Anomalie des Wassers";1;"1o3";"Wie verändert sich das Volumen von Wasser, wenn es auf unter 0° Celsius abkühlt?";"Das Volumen wird größer";"größer";"mehr";0;0;0;0;0;0
"Wegen dieser Anomalie platzen Getränkeflaschen im Gefrierschrank";0;0;"W053_Do";1;3;"Anomalie des Wassers";1;"1o(2u4)o(5u6)";"Was versteht man unter der Anomalie des Wassers?";"Wasser dehnt sich beim Gefrieren aus";"Wasser";"4°C";"dehnt";"Wasser";"frier";"dehnt";0;0
0;0;0;"W025_Do";1;4;"Teilchenmodell";1;"1o2f3";"Wie verändert sich die Geschwindigkeit der Teilchen, wenn es zu einer Temperaturerhöhung kommt?";"Die Teilchen werden schneller";"schneller";"langsamer";0;0;0;0;0;0
0;0;0;"W047_Do";1;4;"Teilchenmodell";1;"w";"Wahr oder falsch? Die Teilchen in einem Gas haben eine höhere Bewegungsenergie als die Teilchen in einer Flüssigkeit.";"wahr";" ";" ";0;0;0;0;0;0
0;0;0;"W048_Do";1;4;"Teilchenmodell";1;"w";"Wahr oder falsch? Die Bewegungenergie der Teilchen ist  in Festkörpern ist höher als die Bewegungsenergie in Gasen.";"falsch";" ";0;0;0;0;0;0;0
"In der Wolle ist viel Luft";0;0;"W009_Do";1;5;" Wärmeausbreitung";1;"3u(4o6)Y";"Wieso wärmt ein Wollpullover im Winter ?";"Die Luft in der Wolle isoliert";"Die Luft in der Wolle ist ein schlecher Wärmeleiter";"Luft";"mehr";"isoliert";"schlechter Wärmeleiter";0;0;0
0;0;0;"W032_Do";1;5;" Wärmeausbreitung";1;"1o3Y";"Nenne den Fachbegriff, wenn Wärme zusammen mit einem Stoff transportiert wird?";"Wärmeströmung oder Konvektion";"Wärmeströmung";"Konvektion";0;0;0;0;0;0
0;0;0;"W033_Do";1;5;" Wärmeausbreitung";1;"1Y";"Man spricht von ... wenn Stoffe Wärme weitergeben, ohne dass sie sich selbst mitbwegen.";"Wärmeleitung";0;0;0;0;0;0;0;0
0;0;0;"W034_Do";1;5;" Wärmeausbreitung";1;"a";"Welcher Stoff leitet Wärme am besten weiter?";"Messing";"Holz";"Glas";"Eis";0;0;0;0;0
0;0;0;"W037_Do";1;5;" Wärmeausbreitung";1;"w";"Wahr oder falsch? Luft ist ein guter Wärmeleiter.";"falsch";" ";0;0;0;0;0;0;0
0;0;0;"W038_Do";1;5;" Wärmeausbreitung";1;"w";"Wahr oder falsch? Wasser ist ein guter Wärmeleiter.";"falsch";" ";0;0;0;0;0;0;0
0;0;0;"W039_Do";1;5;" Wärmeausbreitung";1;"w";"Wahr oder falsch? Silber ist ein guter Wärmeleiter.";"wahr";" ";0;0;0;0;0;0;0
0;0;0;"W040_Do";1;5;" Wärmeausbreitung";1;"1Y";"Man spricht von ..., wenn sich Wärme ohne einen Stoff ausbreitet.";"Wärmestrahlung";0;0;0;0;0;0;0;0
0;0;0;"W042_Do";1;5;" Wärmeausbreitung";1;"2o3e4o6";"... Flächen nehmen mehr Strahlung auf als ... Flächen.";"Dunkle … helle";"dunkle";"schwarze";"helle";"weiße";"weisse";0;0;0
0;0;0;"W049_Do";1;5;" Wärmeausbreitung";1;"w";"Wahr oder falsch? Helle Flächen erwärmen sich mehr als dunkle Flächen.";"falsch";0;0;0;0;0;0;0;0
0;0;0;"W050_Do";1;5;" Wärmeausbreitung";1;"w";"Wahr oder falsch? Warme Luft steigt in einer kühlen Umgebung nach oben.";"wahr";0;0;0;0;0;0;0;0
"Kälter geht es nicht.";0;5;"W001_Do";1;1;"Temperatur und Thermometer";2;"1o4X";"Bei welcher Temperatur liegt der absolute Nullpunkt?";"-273°C";"Null Kelvin";"0K";"-273,15°C";0;0;0;0;0
"Da man Salz auf die Straßen streut um das Eis aufzutauen, sollte man meinen, die Temperatur würde steigen. Das stimmt aber nicht – Wasser + Salz ergibt Salzwasser und Salzwasser hat einen niedrigeren Gefriepunkt als reines Wasser. Da also Salzwasser entsteht und dieses bei der Temperatur auf der Straße noch nicht gefriert, taut das Eis auf – zum Auftauen wird Energie benötigt, daher sinkt die Temperatur.";0;5;"W002_Do";1;1;"Temperatur und Thermometer";2;"1o4Y";"Wie ändert sich die Temperatur von Eis wenn man Salz darauf streut?";"sie wird niedriger";"sie fällt";"sie sinkt";"kälter";0;0;0;0;0
0;0;0;"W006_Do";1;1;"Temperatur und Thermometer";2;"1o4";"Welche Temperaturskala wird in der Wissenschaft benutzt?";"Kelvin";"K";"Grad Kelvin";"Kelvinskala";0;0;0;0;0
"Bei dieser Temperaturskala heißt der absolute Nullpunkt 0 K (Null Kelvin) – kälter geht nicht. Dieser liegt bei -273,15°C.";0;"Es gibt folgende Temperaturskalen : Reaumur, Fahrenheit, Celsius und Kelvin.";"W019_Do";1;1;"Temperatur und Thermometer";2;"1o2";"Wie heißt die wissenschaftliche Temperatureinheit ?";"Kelvin";"Grad Kelvin";0;0;0;0;0;0;0
0;0;0;"W046_Do";1;1;"Temperatur und Thermometer";2;"1o2";"Für was steht ""°F""?";"Grad Fahrenheit";Fahrenheit;0;0;0;0;0;0;0
0;0;0;"W014_Do";1;2;"Ausdehnung";2;"1o3Y";"Warum finden sich an den Enden von Brücken oft kammförmige Fugen? ";"damit die Brücke sich beim Erwärmen ausdehnen kann";"ausdehn";"länger";0;0;0;0;0;0
0;0;0;"W026_Do";1;2;"Ausdehnung";2;"1o2Z";"Von welchem Koeffizienten hängt die Volumenänderung von Flüssigkeiten ab?";"Raumausdehnungskoeffizient";"ausdehnungskoeffizien";0;0;0;0;0;0;0
0;0;0;"W051_Do";1;2;"Ausdehnung";2;"w";"Wahr oder falsch? Aufgrund von extremen Temperaturunterschieden, können riesige Fesblöcke auseinanderbrechen.";"wahr";0;0;0;0;0;0;0;0
"in dieser Tiefe gefriert die Erde nicht";0;0;"W004_Do";1;3;"Anomalie des Wassers";2;"a";"Warum müssen Wasserleitungen immer mindestens 80 cm tief im Erdboden eingegraben werden?";"Damit sie im Winter nicht einfrieren.";"Damit das Wasser im Sommer nicht so heiß wird und die Leitung nicht platzt";"Damit sie beim Graben mit Bagerrn nicht kaputt gemacht werden.";"Damit kaltes Wasser aus dem Kaltwasserhahn kommt";0;0;0;0;0
"In das aufgeplusterte Gefieder passt mehr Luft";0;0;"W008_Do";1;5;" Wärmeausbreitung";2;"3u(4o5)Y";"Warum plustern sich Vögel im Winter auf ?";"Die Luft im Gefieder isoliert";"Die Luft im Gefieder ist ein schlechter Wärmeleiter";"Luft";"mehr";"isoliert";0;0;0;0
"Die kurzen Haare des Sommerfells werden durch lange Haare ersetzt";0;0;"W010_Do";1;5;" Wärmeausbreitung";2;"3u(4o5)Y";"Wieso bekommen Tiere im Winter ein Winterfell ?";"Die Luft im Fell isoliert";"Die Luft im Fell ist ein schlechter Wärmeleiter";"Luft";"mehr";"isoliert";0;0;0;0
0;0;0;"W035_Do";1;5;" Wärmeausbreitung";2;"a";"Welcher Stoff leitet Wärme am besten weiter?";"Aluminium";"Stahl";"Messing";"Blei";0;0;0;0;0
0;0;0;"W036_Do";1;5;" Wärmeausbreitung";2;"a";"Welcher Stoff leitet Wärme am besten weiter?";"Wasser";"Luft";"Holz";"Kunststoff";0;0;0;0;0
0;0;0;"W041_Do";1;5;" Wärmeausbreitung";2;"1o2Y";"Wie nennt man die in der Medizin eingesetzte Wärmestrahlung noch?";"Infrarotstrahlung";"infrarot";0;0;0;0;0;0;0
"Da man Salz auf die Straßen streut um das Eis aufzutauen, sollte man meinen, die Temperatur würde steigen. Das stimmt aber nicht – Wasser + Salz ergibt Salzwasser und Salzwasser hat einen niedrigeren Gefriepunkt als reines Wasser. Da also Salzwasser entsteht und dieses bei der Temperatur auf der Straße noch nicht gefriert, taut das Eis auf.";0;0;"W021_Do";1;1;"Temperatur und Thermometer";3;"1o3Y";"Warum streut man bei Glatteis Salz auf die Straße?";"Das Eis taut auf";"taut";"schmilzt";0;0;0;0;0;0
"Wenn im Winter Wasser unter dem Asphalt ist und dieses gefriert, dehnt es sich aus und der Asphalt platzt auf. Dadurch kann noch mehr Wasser eindringen.";0;0;"W018_Do";1;1;"Anomalie des Wassers";3;"1o6";"Warum wird beim Straßenbau immer zuerst ein Schotterbett aus Steinbrocken unter der zukünftigen Straße aufgeschüttet?";"Damit das Wasser unter der Straße versickern kann";"versickern";"weglaufen";"Schlagl";"Löcher";"Risse";0;0;0
0;0;0;"W005_Do";1;2;"Ausdehnung";3;"(2o3)u(4u5)";"Warum findet man nach dem Winter oft Löcher im Asphalt?";"Beim Gefrieren dehnt sich Wasser unter der Straße aus";"Wasser";"Eis";"dehnt ";"aus";0;0;0;0
0;0;0;"O0001_Do";2;1;"Licht und Schatten";1;1;"Wie heißt die Konvexlinse auf deutsch?";"Sammellinse";0;0;0;0;0;0;0;0
"„Anziehen“ würde bedeuten, dass die Lichtstahlen von ihrem geraden Weg abwichen.";0;0;"O0002_Do";2;1;"Licht und Schatten";1;"(1o3)o(3u4)f5";"Warum werden dunkle Körper in der Sonne schneller warm?         Ergänze: Weil sie das Sonnenlicht … ";"absorbieren";"schlucken";"absorbier";"nicht";"reflektieren";"anzieh";0;0;0
0;0;0;"O0003_Do";2;1;"Licht und Schatten";1;"1o2";"Wie breitet sich Licht aus?";"geradlinig";"gerade";0;0;0;0;0;0;0
0;0;0;"O0004_Do";2;4;"Linsen";1;"1o2";"Wenn eine Lichtquelle  einen undurchsichtigen Körper beleuchtet, entsteht hinter dem Körper ein...";"Schatten";"Kernschatten";0;0;0;0;0;0;0
0;0;0;"O0005_Do";2;2;"Reflektion";1;"a";"Wie erhältst du einen möglichst großen Schatten?";"Der Gegenstand muss nah an der Lichtquelle stehen.";"Der Gegenstand muss von der Lichtquelle weit entfernt stehen.";0;0;0;0;0;0;0
0;0;0;"O0006_Do";2;1;"Licht und Schatten";1;"1o(2u4)";"Wie heißen die beiden Schattenbereiche, die entstehen, wenn Licht aus zwei Lichtquellen auf einen lichtundurchlässigen Körper trifft?";"Kernschatten und Halbschatten";"Kern";"Halb";"schatten";0;0;0;0;0
0;0;0;"O0007_Do";2;1;"Licht und Schatten";1;"1o5Y";"Wie lange braucht die Erde um sich einmal um die eigene Achse zu drehen?";"24 Stunden";"24h";"25 Stunden";"25h";0;0;0;0;0
0;0;0;"O0008_Do";2;1;"Licht und Schatten";1;"1o3";"Wie lange braucht der Mond um sich einmal um die Erde zu drehen?";"1 Monat";"27 Tage";"27d";"einen Monat";0;0;0;0;0
0;0;0;"O0009_Do";2;1;"Licht und Schatten";1;"1o3";"Wie lange braucht die Erde um sich einmal um die Sonne zu drehen?";"1 Jahr";"365,25d";"365 Tage 6 Stunden";0;0;0;0;0;0
0;0;0;"O0010_Do";2;1;"Licht und Schatten";1;"a";"Was steht bei einer Sonnenfinsternis in der Mitte?";"Mond";"Erde";"Sonne";0;0;0;0;0;0
0;0;0;"O0011_Do";2;1;"Licht und Schatten";1;"a";"Was steht bei einer Mondfinsternis in der Mitte?";"Erde";"Mond";"Sonne";0;0;0;0;0;0
0;0;0;"O0012_Do";2;2;"Reflektion";2;"1o2";"Dunkle Flächen ... das Licht.";"absorbieren";"schlucken";0;0;0;0;0;0;0
0;0;0;"O0013_Do";2;2;"Reflektion";1;1;"Helle Flächen ... das Licht besser als dunkle Flächen.";"reflektieren";0;0;0;0;0;0;0;0
0;0;0;"O0014_Do";2;4;"Linsen";1;1;"Wie heißt die Konkavlinse auf deutsch?";"Zerstreuungslinse";0;0;0;0;0;0;0;0
0;0;0;"O0015_Do";2;2;"Reflektion";2;"l(1o3)f(4o5)";"Das Bild eines nach außen gewölbter Spiegel ist …";"aufrecht, verkleinert";"aufrecht";"kleiner";"umgekehrt";"vergrößert";0;0;0;0
0;0;0;"O0016_Do";2;2;"Reflektion";2;"l(1o3)f(4o5)";"Das Bild eines nach innen gewölbter Spiegel ist …";"vergrößert, umgekehrt";"umgekehrt";"gößer";"aufrecht";"verkleinert";0;0;0;0
0;0;0;"O0017_Do";2;4;"Linsen";1;1;"Wie heißt die Stelle hinter einer Sammellinse, bei der parallele Lichtstrahlen vereinigt werden?";"Brennpunkt";0;0;0;0;0;0;0;0
0;0;0;"O0018_Do";2;6;"optische Geräte";1;"a";"Wer kurzsichtig ist, sieht...";"Nahes scharf und Fernes unscharf";"Fernes scharf und Nahes unscharf";0;0;0;0;0;0;0
0;0;0;"O0019_Do";2;6;"optische Geräte";1;"a";"Wer weitsichtig ist, sieht...";"Fernes scharf und Nahes unscharf";"Nahes scharf und Fernes unscharf";0;0;0;0;0;0;0
"benutze anstelle von „lila“ den Namen „violett“";0;0;"O0020_Do";2;3;"Brechung";1;"1o(2u7)f8";"Wenn Sonnenlicht durch ein Prisma zerlegt wird entstehen die Spektralfarben. Zähle diese auf (Nur die sichtbaren). Beginne mit rot:";"rot, orange, gelb, grün, blau, violett";"rot";"orange";"gelb";"grün";"blau";"violett";"lila";0
0;0;0;"O0021_Do";2;3;"Brechung";1;"a";"Warum wird weißes Licht in einem Prisma in die Spektralfarben zerlegt?";"In einem Prisma werden die Spektralfarben unterschiedlich stark gebrochen.";"Im Prisma werden die Spektralfarben zum weißen Licht dazugemischt.";0;0;0;0;0;0;0
0;0;0;"O0022_Do";2;1;"Licht und Schatten";1;"w";"Der Mond ist ein selbstleuchtender Körper. (wahr/falsch)";"falsch";0;0;0;0;0;0;0;0
0;0;0;"O0023_Do";2;2;"Reflektion";1;"w";"Spiegel absorbieren das Licht. (wahr/falsch)";"falsch";0;0;0;0;0;0;0;0
0;0;0;"O0024_Do";2;1;"Licht und Schatten";1;"w";"Der Mond erzeugt kein Licht. (wahr/falsch)";"wahr";0;0;0;0;0;0;0;0
0;0;0;"O0025_Do";2;1;"Licht und Schatten";1;"w";"Das Auge ist ein Lichtempfänger. (wahr/falsch)";"wahr";0;0;0;0;0;0;0;0
0;0;0;"E012_Do";3;1;"Magnete";1;"1Z";"Was passiert mit den Polen eines Magneten wenn man ihn auseinander bricht?";"Die beiden Stücke haben jeweils wieder einen Nord- und Südpol";0;0;0;0;0;0;0;0
0;0;0;"E013_Do";3;1;"Magnete";1;"1o3Z";"Welche Stoffe werden von einem Magneten angezogen";"Eisen, Kobald und Nickel";"ferromagnetische Stoffe";"ferromagnetische Materialien";0;0;0;0;0;0
0;0;0;"E014_Do";3;2;"Elektrostatik und Atombau";1;"1o(2u4)";"Aus welchen drei Elementarteilchen besteht ein Atom normalerweise?  ";"Proton, Elektron und Neutron";"Proton";"Neutron";"Elektron";0;0;0;0;0
0;0;0;"E015_Do";3;2;"Elektrostatik und Atombau";1;"1o2Y";"Was versteht man unter einem Ion?";"elektrisch geladenes Teilchen";"elektrisch geladen";0;0;0;0;0;0;0
0;0;0;"E016_Do";3;2;"Elektrostatik und Atombau";1;"1o3";"Welche elektrische Ladung hat ein Anion? ";"negativ";"Minus";"-";0;0;0;0;0;0
0;0;0;"E017_Do";3;2;"Elektrostatik und Atombau";1;"1o3";"Welche elektrische Ladung hat ein Kathion?";"positiv";"Plus";"+";0;0;0;0;0;0
0;0;0;"E018_Do";3;2;"Elektrostatik und Atombau";1;"1o3";"Welche elektrische Ladungen ziehen sich an?";"ungleichnamige";"plus und minus";"minus und plus";0;0;0;0;0;0
0;0;0;"E019_Do";3;2;"Elektrostatik und Atombau";1;"1o3";"Welche elektrische Ladungen stoßen sich ab?";"gleichnamige";"plus und plus";"minus und minus";0;0;0;0;0;0
0;0;0;"E020_Do";3;2;"Elektrostatik und Atombau";1;1;"Welche Atomteilchen sind für den elektrischen Strom verantwortlich?";"Elektronen";"Elektronen";0;0;0;0;0;0;0
0;0;0;"E024_Do";3;2;"Elektrostatik und Atombau";1;1;"Welche Teilchen befinden sich in der Atomhülle?";"Elektronen";"Elektronen";0;0;0;0;0;0;0
0;0;0;"E001_Do";3;6;"Spannung, Stromstärke, Widerstand und ohmsches Gesetz";1;1;"Wie ist das Symbol des Widerstandes (Das Symbol - nicht die Einheit   !";"R";0;0;0;0;0;0;0;0
0;0;0;"E002_Do";3;6;"Spannung, Stromstärke, Widerstand und ohmsches Gesetz";1;1;"Wie heißt die Einheit des elektrischen Widerstandes (Ausgeschrieben - nicht die Abkürzung!)?";"Ohm";0;0;0;0;0;0;0;0
0;0;0;"E003_Do";3;6;"Spannung, Stromstärke, Widerstand und ohmsches Gesetz";1;1;"Wie heißt die Einheit der Stromstärke (Ausgeschrieben - nicht die Abkürzung !)?";"Ampere";0;0;0;0;0;0;0;0
0;0;0;"E004_Do";3;6;"Spannung, Stromstärke, Widerstand und ohmsches Gesetz";1;1;"Wie ist das Symbol der Stromstärke (Das Symbol - nicht die Einheit !)?";"I";0;0;0;0;0;0;0;0
0;0;0;"E005_Do";3;6;"Spannung, Stromstärke, Widerstand und ohmsches Gesetz";1;1;"Wie kürzt man die Einheit der Stromstärke ab ?";"A";0;0;0;0;0;0;0;0
0;0;0;"E006_Do";3;6;"Spannung, Stromstärke, Widerstand und ohmsches Gesetz";1;1;"Wie heißt die Einheit der Spannung (Ausgeschrieben - nicht die Abkürzung !)?";"Volt";0;0;0;0;0;0;0;0
0;0;0;"E007_Do";3;6;"Spannung, Stromstärke, Widerstand und ohmsches Gesetz";1;1;"Wie ist das Symbol der Spannung (Das Symbol - nicht die Einheit !)?";"U";0;0;0;0;0;0;0;0
0;0;0;"E008_Do";3;6;"Spannung, Stromstärke, Widerstand und ohmsches Gesetz";1;"1o3";"Welchen Widerstand hat eine Lampe mit der Aufschrift : 12Volt und 0,2A ?";"60Ohm";"60Ω";"60 Ohm";0;0;0;0;0;0
0;0;0;"E009_Do";3;6;"Spannung, Stromstärke, Widerstand und ohmsches Gesetz";1;"1o2";"Welche Stromstärke fließt durch einen 100 Ohm Widerstand, wenn eine Spannung von 5 Volt anliegt?";"0,05A";"50mA";0;0;0;0;0;0;0
0;0;0;"E010_Do";3;6;"Spannung, Stromstärke, Widerstand und ohmsches Gesetz";1;"1o3";"Wie lautet das ohmsche Gesetz als Formel?";"U=R*1";"R=U/I";"R=U:I";0;0;0;0;0;0
0;0;0;"E011_Do";3;6;"Spannung, Stromstärke, Widerstand und ohmsches Gesetz";2;"(2u4)u(5o6)";"Wovon hängt der Widerstand eines Drahtes ab?";"Länge, Querschnitt, Material und Temperatur";"Länge";"Temperatur";"Material";"Querschnitt";"Querschnittsfläche";0;0;0
0;0;0;"E021_Do";3;6;"Spannung, Stromstärke, Widerstand und ohmsches Gesetz";1;"p1o2f3";"Das gelbe ist eine Lampe. Ist das Spannungsmessgerät das grüne oder das blaue ?";"das grüne";"grün";"blau";0;0;0;0;0;0
0;0;0;"E022_Do";3;6;"Spannung, Stromstärke, Widerstand und ohmsches Gesetz";1;"p1o2f3";"Das gelbe ist eine Lampe. Ist das Stromstärkemessgerät das grüne oder das blaue ?";"das blaue";"blau";"blau";0;0;0;0;0;0
0;0;0;"E023_Do";3;6;"Spannung, Stromstärke, Widerstand und ohmsches Gesetz";1;"p1";"Die Lampen haben alle die gleichen Werte und auch die Spannungen sind gleich. Welche Lampe leuchtet am hellsten ?";4;0;0;0;0;0;0;0;0
0;0;0;"M001_Do";4;1;"Kraft, Masse und Gewicht";1;1;"Wie heißt die Einheit der Kraft ?";"Newton";0;0;0;0;0;0;0;0
0;0;0;"M002_Do";4;3;"Arbeit und Leistung";1;1;"Welche Einheit hat die Leistung ?";"Watt";0;0;0;0;0;0;0;0
0;0;0;"M003_Do";4;3;"Arbeit und Leistung";1;1;"Welche Abkürzung hat die Einheit der Leistung ?";"W";0;0;0;0;0;0;0;0
0;0;0;"M004_Do";4;3;"Arbeit und Leistung";1;"1o3";"Mit welcher Formel berechnet man die mechanische Arbeit?";"W=F*l";"W=Fl";"W=F*s";0;0;0;0;0;0
0;0;0;"M005_Do";4;1;"Kraft, Masse und Gewicht";1;1;"Wie wird die Einheit der Masse abgekürzt ?";"kg";0;0;0;0;0;0;0;0
0;0;0;"M006_Do";4;1;"Kraft, Masse und Gewicht";1;1;"Woran kann man eine Kraft erkennen ?";"Bewegungsänderung oder Verformung";0;0;0;0;0;0;0;0
0;0;0;"M007_Do";4;1;"Kraft, Masse und Gewicht";1;"1o2";"Wie heißt das Messgerät mit dem man Kräfte misst?";"Federwaage";0;0;0;0;0;0;0;0
0;0;0;"M008_Do";4;1;"Kraft, Masse und Gewicht";1;1;"Mit welcher Waage bestimmt man die Masse?";"Balkenwaage";0;0;0;0;0;0;0;0
0;0;0;"M009_Do";4;1;"Kraft, Masse und Gewicht";1;"1o3";"Wie groß ist die Masse von 1 Liter Wasser ?";"m=1 kg";"1kg";"1 Kilogramm";"Ein Kilogramm";0;0;0;0;0
0;0;0;"M010_Do";4;1;"Kraft, Masse und Gewicht";1;1;"Wie viel Kubikzentimeter entsprechen 1 Liter Wasser ?";1000;0;0;0;0;0;0;0;0
0;0;0;"M011_Do";4;1;"Kraft, Masse und Gewicht";1;"1o2";"Welche Dichte hat Wasser ?";"1 g/cm³";0;0;0;0;0;0;0;0
0;0;0;"M012_Do";4;1;"Kraft, Masse und Gewicht";1;"1o2";"Welche Masse hat 1 m³ Wasser ?";"1000kg";0;0;0;0;0;0;0;0
0;0;0;"M013_Do";4;1;"Kraft, Masse und Gewicht";1;"w";"Hat ein Liter Wasser auf einem Berg die gleiche Masse wie auf Meereshöhe ?";"wahr";0;0;0;0;0;0;0;0
0;0;0;"M014_Do";4;1;"Kraft, Masse und Gewicht";1;"w";"Hat ein Liter Wasser auf einem Berg die gleiche Masse wie auf Meereshöhe ?";"falsch";0;0;0;0;0;0;0;0
0;0;0;"M015_Do";4;1;"Kraft, Masse und Gewicht";1;"1o3";"Wie lautet das Hooksche Gesetz ?";"Die Ausdehnung einer Feder ist proportional zur angreifenden Kraft";"l~F";"proportional";0;0;0;0;0;0
0;"(Die Masse der losen Rollen, sowie die Reibung werden nicht berücksichtigt)";0;"M016_Do";4;2;"einfache Maschinen";1;"p1o2";"Mit welcher Kraft muss man ziehen, wenn man einen Flaschenzug mit 4 Seilen (Rollen) einsetzt?";"Ein Viertel";"¼";0;0;0;0;0;0;0
0;0;0;"M017_Do";4;3;"Arbeit und Leistung";1;1;"Wie wird die Einheit der Kraft abgekürzt ?";"N";0;0;0;0;0;0;0;0
0;0;0;"M018_Do";4;3;"Arbeit und Leistung";1;1;"Wie heißt die Einheit der Arbeit ?";"Newtonmeter";0;0;0;0;0;0;0;0
0;0;0;"M019_Do";4;3;"Arbeit und Leistung";1;1;"Wie heißt die Einheit der Leistung ?";"Watt";0;0;0;0;0;0;0;0
0;0;0;"M020_Do";4;3;"Arbeit und Leistung";1;1;"Wie wird die Einheit der Arbeit abgekürzt ?";"Nm";0;0;0;0;0;0;0;0
0;0;0;"M021_Do";4;3;"Arbeit und Leistung";1;1;"Wie wird die Einheit der Leistung abgekürzt ?";"Watt";0;0;0;0;0;0;0;0
0;0;0;"M022_Do";4;3;"Arbeit und Leistung";1;1;"Welche Einheit hat die Arbeit ?";"Newtonmeter";0;0;0;0;0;0;0;0
