"erklaerung";"anmerkung";"hilfe";"lfd_nr";"zeile";"kapitel";"schwierigkeit";"typ";"frage";"antwort";2;3;4;5;6;7;8;9;;
;;;"W013";3;"Anomalie des Wassers";1;"a";"Warum platzen Wasserflaschen und Wasserleitungen, die im Winter für einige Zeit Frost ausgesetzt sind?";"Wasser dehnt sich beim Gefrieren aus";"Wasser zieht sich beim Gefrieren zusammen";"Das Glas und die Röhern gehen bei Kälte kaputt";;;;;;;;
;;;"W027";3;"Anomalie des Wassers";1;"1o2";"Bei wie viel Grad Celsius, hat Wasser das geringste Volumen?";"4°C";"4°Celsius";;;;;;;;;
;;;"W029";3;"Anomalie des Wassers";1;"1o3";"Wie verändert sich das Volumen von Wasser, wenn es auf unter 0° Celsius abkühlt?";"Das Volumen wird größer";"größer";"mehr";;;;;;;;
"Wegen dieser Anomalie platzen Getränkeflaschen im Gefrierschrank";;;"W053";3;"Anomalie des Wassers";1;"1o(2u4)o(5u6)";"Was versteht man unter der Anomalie des Wassers?";"Wasser dehnt sich beim Gefrieren aus";"Wasser";"4°C";"dehnt";"Wasser";"frier";"dehnt";;;;
;;;"W025";4;"Teilchenmodell";1;"1o2f3";"Wie verändert sich die Geschwindigkeit der Teilchen, wenn es zu einer Temperaturerhöhung kommt?";"Die Teilchen werden schneller";"schneller";"langsamer";;;;;;;;
;;;"W047";4;"Teilchenmodell";1;"w";"Wahr oder falsch? Die Teilchen in einem Gas haben eine höhere Bewegungsenergie als die Teilchen in einer Flüssigkeit.";"wahr";" ";" ";;;;;;;;
;;;"W048";4;"Teilchenmodell";1;"w";"Wahr oder falsch? Die Bewegungenergie der Teilchen ist  in Festkörpern ist höher als die Bewegungsenergie in Gasen.";"falsch";" ";;;;;;;;;
"In der Wolle ist viel Luft";;;"W009";5;" Wärmeausbreitung";1;"3u(4o6)Y";"Wieso wärmt ein Wollpullover im Winter ?";"Die Luft in der Wolle isoliert";"Die Luft in der Wolle ist ein schlecher Wärmeleiter";"Luft";"mehr";"isoliert";"schlechter Wärmeleiter";;;;;
;;;"W032";5;" Wärmeausbreitung";1;"1o3Y";"Nenne den Fachbegriff, wenn Wärme zusammen mit einem Stoff transportiert wird?";"Wärmeströmung oder Konvektion";"Wärmeströmung";"Konvektion";;;;;;;;
;;;"W033";5;" Wärmeausbreitung";1;"1Y";"Man spricht von ... wenn Stoffe Wärme weitergeben, ohne dass sie sich selbst mitbwegen.";"Wärmeleitung";;;;;;;;;;
;;;"W034";5;" Wärmeausbreitung";1;"a";"Welcher Stoff leitet Wärme am besten weiter?";"Messing";"Holz";"Glas";"Eis";;;;;;;
;;;"W037";5;" Wärmeausbreitung";1;"w";"Wahr oder falsch? Luft ist ein guter Wärmeleiter.";"falsch";" ";;;;;;;;;
;;;"W038";5;" Wärmeausbreitung";1;"w";"Wahr oder falsch? Wasser ist ein guter Wärmeleiter.";"falsch";" ";;;;;;;;;
;;;"W039";5;" Wärmeausbreitung";1;"w";"Wahr oder falsch? Silber ist ein guter Wärmeleiter.";"wahr";" ";;;;;;;;;
;;;"W040";5;" Wärmeausbreitung";1;"1Y";"Man spricht von ..., wenn sich Wärme ohne einen Stoff ausbreitet.";"Wärmestrahlung";;;;;;;;;;
;;;"W042";5;" Wärmeausbreitung";1;"2o3e4o6";"... Flächen nehmen mehr Strahlung auf als ... Flächen.";"Dunkle … helle";"dunkle";"schwarze";"helle";"weiße";"weisse";;;;;
;;;"W049";5;" Wärmeausbreitung";1;"w";"Wahr oder falsch? Helle Flächen erwärmen sich mehr als dunkle Flächen.";"falsch";;;;;;;;;;
;;;"W050";5;" Wärmeausbreitung";1;"w";"Wahr oder falsch? Warme Luft steigt in einer kühlen Umgebung nach oben.";"wahr";;;;;;;;;;
"Kälter geht es nicht.";;5;"W001";1;"Temperatur und Thermometer";2;"1o4X";"Bei welcher Temperatur liegt der absolute Nullpunkt?";"-273°C";"Null Kelvin";"0K";"-273,15°C";;;;;;;
"Da man Salz auf die Straßen streut um das Eis aufzutauen, sollte man meinen, die Temperatur würde steigen. Das stimmt aber nicht – Wasser + Salz ergibt Salzwasser und Salzwasser hat einen niedrigeren Gefriepunkt als reines Wasser. Da also Salzwasser entsteht und dieses bei der Temperatur auf der Straße noch nicht gefriert, taut das Eis auf – zum Auftauen wird Energie benötigt, daher sinkt die Temperatur.";;5;"W002";1;"Temperatur und Thermometer";2;"1o4Y";"Wie ändert sich die Temperatur von Eis wenn man Salz darauf streut?";"sie wird niedriger";"sie fällt";"sie sinkt";"kälter";;;;;;;
;;;"W006";1;"Temperatur und Thermometer";2;"1o4";"Welche Temperaturskala wird in der Wissenschaft benutzt?";"Kelvin";"K";"Grad Kelvin";"Kelvinskala";;;;;;;
"Bei dieser Temperaturskala heißt der absolute Nullpunkt 0 K (Null Kelvin) – kälter geht nicht. Dieser liegt bei -273,15°C.";;"Es gibt folgende Temperaturskalen : Reaumur, Fahrenheit, Celsius und Kelvin.";"W019";1;"Temperatur und Thermometer";2;"1o2";"Wie heißt die wissenschaftliche Temperatureinheit ?";"Kelvin";"Grad Kelvin";;;;;;;;;
;;;"W046";1;"Temperatur und Thermometer";2;"1Y";"Für was steht ""°F""?";"Fahrenheit";;;;;;;;;;
;;;"W014";2;"Ausdehnung";2;"1o3Y";"Warum finden sich an den Enden von Brücken oft kammförmige Fugen? ";"damit die Brücke sich beim Erwärmen ausdehnen kann";"ausdehn";"länger";;;;;;;;
;;;"W026";2;"Ausdehnung";2;"1o2Z";"Von welchem Koeffizienten hängt die Volumenänderung von Flüssigkeiten ab?";"Raumausdehnungskoeffizient";"ausdehnungskoeffizien";;;;;;;;;
;;;"W051";2;"Ausdehnung";2;"w";"Wahr oder falsch? Aufgrund von extremen Temperaturunterschieden, können riesige Fesblöcke auseinanderbrechen.";"wahr";;;;;;;;;;
"in dieser Tiefe gefriert die Erde nicht";;;"W004";3;"Anomalie des Wassers";2;"a";"Warum müssen Wasserleitungen immer mindestens 80 cm tief im Erdboden eingegraben werden?";"Damit sie im Winter nicht einfrieren.";"Damit das Wasser im Sommer nicht so heiß wird und die Leitung nicht platzt";"Damit sie beim Graben mit Bagerrn nicht kaputt gemacht werden.";"Damit kaltes Wasser aus dem Kaltwasserhahn kommt";;;;;;;
"In das aufgeplusterte Gefieder passt mehr Luft";;;"W008";5;" Wärmeausbreitung";2;"3u(4o5)Y";"Warum plustern sich Vögel im Winter auf ?";"Die Luft im Gefieder isoliert";"Die Luft im Gefieder ist ein schlechter Wärmeleiter";"Luft";"mehr";"isoliert";;;;;;
"Die kurzen Haare des Sommerfells werden durch lange Haare ersetzt";;;"W010";5;" Wärmeausbreitung";2;"3u(4o5)Y";"Wieso bekommen Tiere im Winter ein Winterfell ?";"Die Luft im Fell isoliert";"Die Luft im Fell ist ein schlechter Wärmeleiter";"Luft";"mehr";"isoliert";;;;;;
;;;"W035";5;" Wärmeausbreitung";2;"a";"Welcher Stoff leitet Wärme am besten weiter?";"Aluminium";"Stahl";"Messing";"Blei";;;;;;;
;;;"W036";5;" Wärmeausbreitung";2;"a";"Welcher Stoff leitet Wärme am besten weiter?";"Wasser";"Luft";"Holz";"Kunststoff";;;;;;;
;;;"W041";5;" Wärmeausbreitung";2;"1o2Y";"Wie nennt man die in der Medizin eingesetzte Wärmestrahlung noch?";"Infrarotstrahlung";"infrarot";;;;;;;;;
"Da man Salz auf die Straßen streut um das Eis aufzutauen, sollte man meinen, die Temperatur würde steigen. Das stimmt aber nicht – Wasser + Salz ergibt Salzwasser und Salzwasser hat einen niedrigeren Gefriepunkt als reines Wasser. Da also Salzwasser entsteht und dieses bei der Temperatur auf der Straße noch nicht gefriert, taut das Eis auf.";;;"W021";1;"Temperatur und Thermometer";3;"1o3Y";"Warum streut man bei Glatteis Salz auf die Straße?";"Das Eis taut auf";"taut";"schmilzt";;;;;;;;
"Wenn im Winter Wasser unter dem Asphalt ist und dieses gefriert, dehnt es sich aus und der Asphalt platzt auf. Dadurch kann noch mehr Wasser eindringen.";;;"W018";1;"Anomalie des Wassers";3;"1o6";"Warum wird beim Straßenbau immer zuerst ein Schotterbett aus Steinbrocken unter der zukünftigen Straße aufgeschüttet?";"Damit das Wasser unter der Straße versickern kann";"versickern";"weglaufen";"Schlagl";"Löcher";"Risse";;;;;
;;;"W005";2;"Ausdehnung";3;"(2o3)u(4u5)";"Warum findet man nach dem Winter oft Löcher im Asphalt?";"Beim Gefrieren dehnt sich Wasser unter der Straße aus";"Wasser";"Eis";"dehnt ";"aus";;;;;;
